ID	DOCULECT	IPA	CONCEPT	COGID	ALIGNMENT
1	agua1253	wi	I	16	- - w i - - - - - - -
2	shua1257	wi	I	16	- - w i - - - - - - -
3	tuyu1244	yii	I	16	- - j ii - - - - - - -
4	tehu1242	ja:	I	16	- - j a: - - - - - - -
5	cane1242	pa	I	16	- - p a - - - - - - -
6	cane1242	wa	I	16	- - w a - - - - - - -
7	cayu1262	a	I	16	- - - a - - - - - - -
8	waya1270	a	I	16	- - - a - - - - - - -
9	xava1240	ʔwa	I	16	ʔ - w a - - - - - - -
10	pano1254	ia	I	16	- - i a - - - - - - -
11	pano1254	i	I	16	- - i - - - - - - - -
12	nina1238	ya	I	16	- - j a - - - - - - -
13	paca1246	ia	I	16	- - i a - - - - - - -
14	yami1256	i	I	16	- - i - - - - - - - -
15	yami1256	ia	I	16	- - i a - - - - - - -
16	cash1251	ɨ	I	16	- - ɨ - - - - - - - -
17	cavi1250	i	I	16	- - i - - - - - - - -
18	onaa1245	ja	I	16	- - j a - - - - - - -
19	wayu1243	taya	I	16	t a j a - - - - - - -
20	waya1270	iye	I	16	- i j e - - - - - - -
21	chac1249	i	I	16	- - i - - - - - - - -
22	chac1251	ɨ	I	16	- - ɨ - - - - - - - -
23	yano1262	ya	I	16	- - j a - - - - - - -
24	chip1262	wer	I	16	- - w e - - - - - - -
25	maca1260	yakhaʔ	I	16	- - y a - - - - - - -
26	esee1248	e	I	16	- - e - - - - - - - -
27	krik1239	pa	I	16	- - p a - - - - - - -
28	maqu1238	iwi	I	16	- i w i - - - - - - -
29	niva1238	yiwaaca	I	16	- - w aa - - - - - - -
30	waiw1244	owi	I	16	- o w i - - - - - - -
31	ship1254	e	I	16	- - e - - - - - - - -
32	toba1269	ajem	I	16	- a j e - - - - - - -
33	kara1500	jiari	I	16	- - j i a - - - - - -
34	tuyu1244	yii	I	16	- - j ii - - - - - - -
35	moco1246	jim	I	16	- - j i - - - - - - -
36	nort2980	yaʔa	I	16	- - j a - - - - - - -
