# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
190	nina1238	kamiye	kamiye	I	k a m i y e	1 7 4 7 7 7	AXBYYZ	KAMIYE	65	65.K.C 65.A.V 65.M.C 65.I.V 65.Y.V 65.E.V	2.0 1.5 1.75 1.3 1.3 0.8	0	65	k a m i y e
191	nina1238	ya	ya	I	y a	7 7	XZ	YA	65	65.Y.V 65.A.V	1.5 0.8	0	16	y - a
199	niva1238	yiwaaca	yiwaaca	I	y i w aa c a	7 7 6 7 1 7	XYBYBZ	YIWACA	66	66.Y.V 66.I.V 66.W.C 66.A.V 66.C.C 66.A.V	1.5 1.3 1.75 1.3 1.75 0.8	0	56	y i w aa c a
204	paez1247	ad	ad	I	a d	7 1	XN	AT	73	73.A.V 73.T.c	1.5 0.8	0	73	- a d -
205	paez1247	uʔkwe	uʔkwe	I	u ʔ k w e	7 1 1 6 7	XMBCZ	YHKWE	73	73.Y.V 73.H.c 73.K.C 73.W.C 73.E.V	1.5 1.1 1.75 1.5 0.8	0	101	u ʔ k - w e
210	wari1268	wataʔ	wataʔ	I	w a t a ʔ	6 7 1 7 1	AXBYN	WATAH	102	102.W.C 102.A.V 102.T.C 102.A.V 102.H.c	2.0 1.5 1.75 1.3 0.8	0	102	w a t a ʔ
215	paca1246	ia	ia	I	i a	7 7	XZ	IA	72	72.I.V 72.A.V	1.5 0.8	0	16	i - a
217	enap1235	yu	yu	I	y u	7 7	XZ	YY	33	33.Y.V 33.Y.V	1.5 0.8	0	9	y - u - -
224	pila1245	hayim	hayim	I	h a y i m	3 7 7 7 4	AXYYN	HAYIM	76	76.H.C 76.A.V 76.Y.V 76.I.V 76.M.c	2.0 1.5 1.3 1.3 0.8	0	76	h a y i m
228	puin1248	am	am	I	a m	7 4	XN	AM	79	79.A.V 79.M.c	1.5 0.8	0	79	- - - - a m
233	sion1247	yiʔi	yiʔi	I	y i ʔ i	7 7 1 7	XYBZ	YIHI	88	88.Y.V 88.I.V 88.H.C 88.I.V	1.5 1.3 1.75 0.8	0	9	y - i ʔ i
240	siri1273	se	se	I	s e	3 7	AX	SE	89	89.S.C 89.E.V	2.0 1.5	0	89	s e
245	taca1256	ema	ema	I	e m a	7 4 7	XBZ	EMA	91	91.E.V 91.M.C 91.A.V	1.5 1.75 0.8	0	12	- e m a - -
246	taca1256	yama	yama	I	y a m a	7 7 4 7	XYBZ	YAMA	91	91.Y.V 91.A.V 91.M.C 91.A.V	1.5 1.3 1.75 0.8	0	12	y a m a - -
253	trin1274	n	n	I	n	4	A	N	95	95.N.C	2.0	0	6	- - n - - - - -
260	trum1247	ha	ha	I	h a	3 7	AX	HA	96	96.H.C 96.A.V	2.0 1.5	0	19	h a - - - -
261	trum1247	hai	hai	I	h a i	3 7 7	AXZ	HAI	96	96.H.C 96.A.V 96.I.V	2.0 1.5 0.8	0	19	h a - i - -
262	trum1247	haits	haits	I	h a i t s	3 7 7 1 3	AXYBC	HAITS	96	96.H.C 96.A.V 96.I.V 96.T.C 96.S.C	2.0 1.5 1.3 1.75 1.5	0	19	h a - i t s
268	tuyu1244	yii	yii	I	y ii	7 7	XZ	YI	97	97.Y.V 97.I.V	1.5 0.8	0	97	y ii
273	waiw1244	owi	owi	I	o w i	7 6 7	XBZ	UWI	99	99.U.V 99.W.C 99.I.V	1.5 1.75 0.8	0	56	- o w i - -
280	waor1240	boto	boto	I	b o t o	1 7 1 7	AXBZ	PUTU	100	100.P.C 100.U.V 100.T.C 100.U.V	2.0 1.5 1.75 0.8	0	73	b o t o
285	wapi1253	ugari	ugari	I	u g a r i	7 1 7 5 7	XBYBZ	YKARI	101	101.Y.V 101.K.C 101.A.V 101.R.C 101.I.V	1.5 1.75 1.3 1.75 0.8	0	101	u - g a r i
290	waur1244	natu	natu	I	n a t u	4 7 1 7	AXBZ	NATY	103	103.N.C 103.A.V 103.T.C 103.Y.V	2.0 1.5 1.75 0.8	0	103	n a t u
294	waya1270	a	a	I	a	7	X	A	104	104.A.V	1.5	0	14	- a
295	waya1270	iye	iye	I	i y e	7 7 7	XYZ	IYE	104	104.I.V 104.Y.V 104.E.V	1.5 1.3 0.8	0	105	- i y e
304	wich1264	olam	olam	I	o l a m	7 5 7 4	XBYN	ULAM	107	107.U.V 107.L.C 107.A.V 107.M.c	1.5 1.75 1.3 0.8	0	79	o - l - a m
309	yagu1244	ray	ray	I	r a y	5 7 7	AXZ	RAY	109	109.R.C 109.A.V 109.Y.V	2.0 1.5 0.8	0	38	- r a y
317	yami1256	i	i	I	i	7	X	I	111	111.I.V	1.5	0	16	i - -
