DOCULECT	IPA	CONCEPT	COGNATES	ORIG
nort2980	paj	he/she/it	149	175
mund1330	ibo	he/she/it	149	256
mapu1245	fej	he/she/it	149	162
cofa1242	hoβa	he/she/it	149	135
cusc1236	paj	he/she/it	149	137
iton1250	pini	he/she/it	149	149
sion1247	paki	he/she/it	149	149
sion1247	pako	he/she/it	149	149
sion1247	paku	he/she/it	149	149
imba1240	pay	he/she/it	149	149
chay1248	pasu	he/she/it	149	169
pila1245	ʔme	he/she/it	141	182
macu1259	miikiri	he/she/it	141	141
enap1235	mək	he/she/it	141	141
enap1235	mukuh	he/she/it	141	141
trin1274	ma	he/she/it	141	141
trin1274	mue	he/she/it	141	141
gali1262	moko	he/she/it	141	141
gali1262	molo	he/she/it	141	141
igna1246	ema	he/she/it	141	148
boro1282	ema	he/she/it	141	120
iyow1239	lam	he/she/it	141	152
wich1264	lam	he/she/it	141	152
wich1264	lham	he/she/it	141	152
wich1262	ɬam	he/she/it	141	152
nort2972	iji	he/she/it	158	158
mund1330	ijop	he/she/it	158	158
kunz1244	aja	he/she/it	158	158
cayu1262	i	he/she/it	158	156
kain1272	i	he/she/it	158	156
puin1248	oo	he/she/it	158	156
waya1270	ɔ	he/she/it	158	156
kari1311	i	he/she/it	158	156
waya1270	awi	he/she/it	158	245
ship1254	ja	he/she/it	158	191
colo1256	ya	he/she/it	158	120
cash1254	ja	he/she/it	158	125
cash1251	a	he/she/it	158	124
chac1249	ja	he/she/it	158	129
cand1248	o	he/she/it	158	109
yami1256	a	he/she/it	158	113
arhu1242	a	he/she/it	158	113
ashe1272	i	he/she/it	158	113
yano1262	a	he/she/it	158	113
siri1273	ae	he/she/it	158	192
mund1330	ija	he/she/it	158	253
wapi1253	uruu	he/she/it	127	245
cayu1262	rae	he/she/it	127	127
wapi1253	irii	he/she/it	127	127
yagu1244	ra	he/she/it	127	127
hixk1239	noro	he/she/it	127	127
muni1258	ra	he/she/it	127	127
nort2972	iru	he/she/it	127	142
epen1239	iru	he/she/it	127	142
mash1270	wale	he/she/it	127	142
waiw1244	noro	he/she/it	127	142
waiw1244	ero	he/she/it	127	142
mash1270	wala	he/she/it	127	153
jebe1250	nana	he/she/it	145	153
chay1248	ina	he/she/it	145	131
yagu1244	sani	he/she/it	145	234
igna1246	eni	he/she/it	145	229
movi1243	isne	he/she/it	145	229
pume1238	ine	he/she/it	145	238
yavi1244	anihi	he/she/it	145	218
wayu1243	nia	he/she/it	145	192
shua1257	nĩi	he/she/it	145	192
iton1250	ohni	he/she/it	145	145
mund1330	ino	he/she/it	145	145
puin1248	naa	he/she/it	145	145
trin1274	eni	he/she/it	145	145
trum1247	hine	he/she/it	145	145
trum1247	ne	he/she/it	145	145
yagu1244	ni	he/she/it	145	145
agua1253	nĩ	he/she/it	145	145
chip1262	ni:	he/she/it	145	145
djeo1235	na	he/she/it	145	145
guam1248	na	he/she/it	145	145
yane1238	ɲa	he/she/it	145	145
iqui1243	nu	he/she/it	145	150
waur1244	nezi	he/she/it	145	207
ocai1244	injánh	he/she/it	145	176
yami1256	ato	he/she/it	234	113
cane1242	tamə	he/she/it	234	122
ayor1240	uuteʔ	he/she/it	234	234
ayor1240	uaateʔ	he/she/it	234	234
baur1253	roti	he/she/it	234	234
cayu1262	t	he/she/it	234	234
cayu1262	ta	he/she/it	234	234
cayu1262	tite	he/she/it	234	234
kain1272	ti	he/she/it	234	234
kara1500	tii	he/she/it	234	234
mund1330	ite	he/she/it	234	234
paez1247	taa	he/she/it	234	234
taca1256	toeda	he/she/it	234	234
hupd1244	tih	he/she/it	234	234
krik1239	ta	he/she/it	234	234
onaa1245	ta	he/she/it	234	234
